[2025-12-03T13:30:02.594Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/index.html'
[2025-12-03T13:30:29.685Z] [ERROR] System Error: EBADF - EBADF: bad file descriptor, close
[2025-12-03T13:30:46.483Z] [ERROR] System Error: EBADF - EBADF: bad file descriptor, close
[2025-12-03T13:45:21.287Z] [ERROR] System Error: ERR_STREAM_PREMATURE_CLOSE - Premature close
[2025-12-03T15:22:08.342Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/fe/client.js'
[2025-12-03T15:22:49.402Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/.well-known/appspecific/com.chrome.devtools.json'
[2025-12-03T15:25:25.128Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/fe/client.js'
[2025-12-03T15:25:29.414Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/fe/client.js'
[2025-12-03T15:25:34.440Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/fe/client.js'
[2025-12-03T15:26:04.488Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/fe/client.js'
[2025-12-03T15:34:20.458Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/fe/client.js'
[2025-12-03T16:02:35.605Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/.well-known/appspecific/com.chrome.devtools.json'
[2025-12-03T16:02:35.648Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/.well-known/appspecific/com.chrome.devtools.json'
[2025-12-03T16:02:35.659Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/fe/client.js'
[2025-12-03T16:02:55.092Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/.well-known/appspecific/com.chrome.devtools.json'
[2025-12-03T16:02:55.117Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/.well-known/appspecific/com.chrome.devtools.json'
[2025-12-03T16:02:55.186Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/fe/client.js'
[2025-12-03T16:05:26.923Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/.well-known/appspecific/com.chrome.devtools.json'
[2025-12-03T16:05:26.950Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/.well-known/appspecific/com.chrome.devtools.json'
[2025-12-03T16:05:26.987Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/fe/client.js'
[2025-12-03T16:05:38.998Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/fe/client.js'
[2025-12-03T16:12:47.195Z] [ERROR] System Error: ENOENT - ENOENT: no such file or directory, open '/home/da/repo/smerdNote/src/public/fe/client.js'
